disease_name,url,symptoms
Abdominal aortic aneurysm,https://www.mayoclinic.org/diseases-conditions/abdominal-aortic-aneurysm/symptoms-causes/syc-20350688,"Abdominal aortic aneurysms often grow slowly. You might not notice any symptoms. This makes them hard to find. Many start small and stay small. Others get bigger over time, sometimes quickly. Some aneurysms never rupture.; If you have an abdominal aortic aneurysm that's getting bigger, symptoms might include:; Deep, constant pain in the belly area or side of the belly.; Back pain.; A throbbing or pulsing feeling near the belly button."
Absence seizure,https://www.mayoclinic.org/diseases-conditions/petit-mal-seizure/symptoms-causes/syc-20359683,"A simple absence seizure causes a vacant stare, which may be mistaken for a brief lapse in attention. The seizure lasts about 10 seconds, though it may last as long as 30 seconds. There's no confusion, headache or drowsiness after the seizure.; Symptoms of absence seizures include:; A sudden stop in activity without falling.; Lip smacking.; Eyelid flutters.; Chewing motions.; Finger rubbing.; Small movements of both hands.; Afterward, there's usually no memory of the incident. But if the seizure is longer, the person may be aware of missed time. Some people have many episodes daily. When it happens, it can interfere with school or daily activities.; A child may have absence seizures for some time before an adult notices them. This is because the seizures are so brief. A decline in a child's learning ability may be the first sign of the seizure disorder. Teachers may say the child has trouble paying attention or that a child is often daydreaming."
Acanthosis nigricans,https://www.mayoclinic.org/diseases-conditions/acanthosis-nigricans/symptoms-causes/syc-20368983,"The main sign of acanthosis nigricans is dark, thick, velvety skin in body folds and creases. It often appears in the armpits, groin and back of the neck. It develops slowly. The affected skin might be itchy, have an odor and develop skin tags."
Achalasia,https://www.mayoclinic.org/diseases-conditions/achalasia/symptoms-causes/syc-20352850,"Achalasia symptoms generally appear gradually and get worse over time. Symptoms may include:; Difficulty swallowing, called dysphagia, which may feel like food or drink is stuck in the throat.; Swallowed food or saliva flowing back into the throat.; Heartburn.; Belching.; Chest pain that comes and goes.; Coughing at night.; Pneumonia from getting food in the lungs.; Weight loss.; Vomiting.; There is a problem with information submitted for this request. Review/update the information highlighted below and resubmit the form."
Achilles tendinitis,https://www.mayoclinic.org/diseases-conditions/achilles-tendinitis/symptoms-causes/syc-20369020,"Achilles tendinitis pain most often begins as a mild ache in the back of the leg or above the heel after running or other sports activity. More-severe burning or aching pain might occur after running a long time, stair climbing or sprinting. Over time, there might be pain even at rest.; Achilles tendinitis can make it hard to use the affected foot. The area also might be tender or stiff, especially in the morning. The soreness usually gets better with mild activity."
Achilles tendon rupture,https://www.mayoclinic.org/diseases-conditions/achilles-tendon-rupture/symptoms-causes/syc-20353234,"Although it's possible to have no signs or symptoms with an Achilles tendon rupture, most people have:; The feeling of having been kicked in the calf; Pain, possibly severe, and swelling near the heel; An inability to bend the foot downward or ""push off"" the injured leg when walking; An inability to stand on the toes on the injured leg; A popping or snapping sound when the injury occurs"
ACL injury,https://www.mayoclinic.org/diseases-conditions/acl-injury/symptoms-causes/syc-20350738,"Signs and symptoms of an ACL injury usually include:; A loud pop or a ""popping"" sensation in the knee; Severe pain and inability to continue activity; Rapid swelling; Loss of range of motion; A feeling of instability or ""giving way"" with weight bearing"
Acne,https://www.mayoclinic.org/diseases-conditions/acne/symptoms-causes/syc-20368047,
Acoustic neuroma,https://www.mayoclinic.org/diseases-conditions/acoustic-neuroma/symptoms-causes/syc-20356127,"Symptoms of an acoustic neuroma often are easy to miss and may take years to develop. Symptoms may occur because of the tumor's effects on the hearing and balance nerves. The tumor also can put pressure on the facial nerve that directs facial muscles and the trigeminal nerve that affects feeling in the face. Blood vessels or other brain structures also can be affected by an acoustic neuroma.; As the tumor grows, it may be more likely to cause more noticeable or worse symptoms.; Common signs and symptoms of an acoustic neuroma include:; Hearing loss, usually gradually over months to years. In rare cases, hearing loss can be sudden. Hearing loss usually occurs on one side or is worse on one side.; Ringing in the affected ear, known as tinnitus.; Loss of balance or not feeling steady.; Dizziness.; Facial numbness and, very rarely, weakness or loss of muscle movement.; Rarely, an acoustic neuroma may grow large enough to compress the brainstem and become life-threatening."
Acromegaly,https://www.mayoclinic.org/diseases-conditions/acromegaly/symptoms-causes/syc-20351222,"Acromegaly symptoms can change the way some body parts look. Changes can include:; Thick ears and lips.; A broad nose.; Enlarged hands and feet.; A jutting brow or jaw.; Gaps between teeth.; An enlarged tongue.; An expanded rib cage that may cause the chest to have a round shape.; Skin changes can include:; Acne.; Harmless skin growths called skin tags.; Coarse, oily and thickened skin.; Swelling in the tissue under the skin.; Most often, people with acromegaly don't have every possible body change. And because the changes come on slowly, they may take years to notice. But over time, rings may no longer fit fingers like they used to. Or shoe size may get bigger. Sometimes, people notice the changes only by comparing old photos with newer ones.; Other acromegaly symptoms can include:; Vision troubles, including loss of side vision.; More sweating and body odor than is typical.; Extreme tiredness.; Headaches.; Joint pain.; Deeper voice."
